shift_id,note,category
S100737,Next shift guard did not pitch. Had to cover.,absence_cover
S106900,client signed for the extra hrs but real reason is relief no show again,absence_cover
S108361,"masjien is stukkend, alles met die hand gedoen",equipment_failure
S100877,"generator fault, stayed to monitor",equipment_failure
S108162,"client asked us to stay for the delivery, ok'd by centre mgmt",client_requested
S102786,Covering for Mahlangu - booked off sick,absence_cover
S107007,,blank
S106106,shift handover delayed by 30 min,late_handover
S106463,double shift because relief never pitched,absence_cover
S102332,double shift because relief never pitched,absence_cover
S108056,Nexxt shift guuard did not pitch. Had to cover.,absence_cover
S103439,"no replacement sent, ngicela sort this out",absence_cover
S100571,relief no show AGAIN,absence_cover
S101332,"handover late again, keys missing",late_handover
S107753,"no replacement sent, ngicela sort this out..",absence_cover
S106253,Client requested deep clean before the audit - approved,client_requested
S100168,all fine,blank
S104252,sharp,blank
S103008,"oorhandiging was laat, gewag vir sleutels",late_handover
S105453,akukho lutho,routine
S106113,etra hours approved by client for the event setup,client_requested
S106907,"oorhandiging was laat, gewag vir sleutels",late_handover
S106876,"oorhandiging was laat, gewag vir sleutels",late_handover
S105345,"next shift akafikanga, ngihlale kuze kube 06h00",absence_cover
S106814,"Mabaso didnt come in, covered the post",absence_cover
S109082,"hanodver late again, keys missing",late_handover
S107738,"waited 50 min for handover, OB book not signed",late_handover
S107339,"additional cover requested by site manager, signed off",client_requested
S100205,no issues on site,routine
S108984,Covering for Pillay - booked off sick,absence_cover
S104765,"waited 50 min for handover, ob book not signed",late_handover
S102055,"covering Wyk post, no show no call",absence_cover
S101825,"late handover, waiting on paperwork",late_handover
S102559,no incidents,absence_cover
S106334,Client asked for extra patrol aftter the break-in Tuesday,client_requested
S101061,"stocktake ran over, client asked us to remain, they know they pay for it",client_requested
S108139,"client asked us to stay for the delivery, ok'd by centre mgmt",client_requested
S106859,fine,blank
S103877,sharp,blank
S103656,"DOUBLE DUTY TODAY, FOURIE ON FAMILY RESPONSIBILITY LEAVE",absence_cover
S105093,"client asked us to stay for the delivery, ok'd by centre mgmt..",client_requested
S105680,"client wanted extra man on the gate for the event, approved",client_requested
S101121,niks om te rapporteer nie,routine
S108690,no incidents,absence_cover
S105807,klient het ekstra ure gevra vir stockake,client_requested
S105217,shift handover delayed by 25 min,late_handover
S105371,ok,blank
S106224,"gedek vir Adams, siek gemeld",absence_cover
S108070,stood in for Radebe,absence_cover
S104308,Next shift guard did not pitch. Had to cover,absence_cover
S105062,quiet shift,routine
S101434,"scrubber broke down, had to do the floor manually..",equipment_failure
S103671,Covering for September - booked off sick..,absence_cover
S108354,"gedek vir Tshabaala, siek gemeld",absence_cover
S108267,Centre mgr requested additionaal cover for stocktake,client_requested
S108389,"requested by centre management for load in, signed off",client_requested
S103433,"stocktake ran over, client asked us to remain, they know they pay for it",client_requested
S106978,"next shift akafikanga, ngihlale kuze kube six",absence_cover
S106245,sharp,blank
S106878,"September didt come in, covered the post",absence_cover
S104428,"stocktake ran over, client asked us to remain, thhey know they pay for it",client_requested
S102342,.,blank
S105877,all good,routine
S106936,ok,blank
S107938,"late handover, waiting on paperwork",late_handover
S108000,"handover late agn, keys missing..",late_handover
S103399,ntr,blank
S101233,"took Jacobs shift as well, 2 posts 1 guard",absence_cover
S101223,Client requested deep clean before the audit - approved,client_requested
S105661,double shift because relief never pitched,absence_cover
S108187,"oorhandiging was laat, gewag vir sletuels !",late_handover
S106210,all good,routine
S104295,"machine down again, took twice as long",equipment_failure
S101088,"scrubber broke down, had to do the floor manualyl",equipment_failure
S104328,Centre manager requested additional cover for stocktake,client_requested
S101143,extra hours approved by client for the event seup,client_requested
S107378,n/a,blank
S109333,"lift out of order, everything carried up stairs, took long",equipment_failure
S106514,shift handover delayed by 25 min,late_handover
S101642,Client requested deep clean before the audit - approved,client_requested
S100593,"took fourie shift as wll, 2 posts 1 guard",routine
S105147,"client says stay till 06:00, dont know if office approved",client_requested
S105777,"client asked us to stay for the delivery, ok'd by centre mgmt",client_requested
S103083,"still on site, relief was suppose to come 0600",absence_cover
S107881,Client requested deep clean before the audit - approved,client_requested
S100164,"uFouire akezanga namhlanje, ngimele yena",absence_cover
S106903,relief no show AGAIN,absence_cover
S106247,next shift guard did not pitch. had to cover,absence_cover
S108878,"handover late again, keys missing",late_handover
S102888,"double duty today, Mahlangu on family responsibility leave",absence_cover
S107172,nothing to report,routine
S105907,stood in for Mthembu,absence_cover
S107272,"aflos het nie opgedaag nie, moes aanbly",absence_cover
S107719,Covered for Motaung again - 3rd time this month,absence_cover
S107751,"September didnt come in, covered the post !",absence_cover
S100406,as per normal,routine
S101019,"late handover, waiting on paperwork",late_handover
S104171,"requested by centre management for load in, signed off",client_requested
S100329,client signed for the extra hours but real reason is relief no show again,absence_cover
S104084,"late handover, waiting on paperwork",late_handover
S105455,Covering for Mahlangu - booked off sick,absence_cover
S104307,"requested by centre management for load in, signed off",client_requested
S107353,nothing to report,routine
S105081,"control room says relief coming, nobody came",absence_cover
S104524,all quiet,routine
S106429,shift handover delayed by 30 min,late_handover
S103630,"Botha absent, took her rounds as well",absence_cover
S101912,"covering khumalo post, no show no call",absence_cover
S106449,client requested deep clean before the audit - approved !,client_requested
S102915,"worked through, Baloyi at the clinic",absence_cover
S108089,"conntrol room says relief coming, nobody came",absence_cover
S100063,"Botha didnt come in, covered the post",absence_cover
S109151,no incidents,absence_cover
S105810,covered for mauel again - 3rd time this month,absence_cover
S100324,"still on site, relief was suppose to come 06:00",absence_cover
S108372,"worked through, Sibiya at the clinic..",absence_cover
S104893,"waited 20 min for handover, OB book not signed",late_handover
S106412,"uTshabalala akezanga namhlanje, ngimele yena",absence_cover
S106153,stood in for Pillay..,routine
S107045,relief no show AGAIN,absence_cover
S104802,"extra patrol per client email, approved by office",client_requested
S108282,klient het ekstra ure gevra vir stocktake,client_requested
S103468,"waited 25 min for handover, OB book not signed",late_handover
S100592,"client asked us to stay for the delivery, ok'd by centre mgmt",client_requested
S104639,"additional cover requested by site mgr, signed off",client_requested
S106391,akukho lutho,routine
S102310,.,blank
S108259,"gate motor failed, manned it by hand till 6",equipment_failure
S107682,-,blank
S106087,"relief only arrived 06h00, stayed until then",absence_cover
S101617,,blank
S103563,sharp,blank
S107432,ntr,blank
S105979,fine,blank
S107340,Covering for Mahlangu - bookked off sick,absence_cover
S103376,"client wanted extra man on the gate for the event, approved",client_requested
S107293,"relief never arrived, stayed on till 6",absence_cover
S100954,ok,blank
S101549,"handover late agn, keys missing",late_handover
S100624,akukho lutho,routine
S100926,"covering Hendricks pos, no show no call",absence_cover
S103528,Centre mgr requested additional cover for stocktake,client_requested
S107844,Clint requested deep clean before the audit - approved,client_requested
S106119,"uMolefe akezanga namhlanje, ngimele yena",absence_cover
S101874,"no replacement sent, ngicela sort this out",absence_cover
S107803,fine,blank
S105335,client asked for extra patrol after the break-in tueesday,client_requested
S107833,"oorhandiging was laa, gewag vir sleutels",late_handover
S108358,"took Motaung shift as well, 2 posts 1 guard",routine
S101505,,blank
S106236,extra hours approved by clent for the event setup,client_requested
S101047,Centre manager requested additional cover for stocktake,client_requested
S109288,all quiet,routine
S104123,nothing to report,routine
S108613,"oorhandiging was laat, gewag vir sleutels",late_handover
S103780,nothing to report,routine
S109338,relief no show again,absence_cover
S106991,"client asked us to stay for the delivery, ok'd by cnetre mgmt",client_requested
S108913,double shift bc relief never pitched,absence_cover
S101184,shift handover delayed by 25 min,late_handover
S101387,"gedek vir Adaams, siek gemeld",absence_cover
S108219,nothing to report,routine
S101599,client signed for the extra hours but real reason is relief no show agin,absence_cover
S106262,"covering Molefe post, no sow no call..",absence_cover
S102769,n/a,blank
S109299,"Hendricks didnt come in, coevred the post",absence_cover
S101576,"waited 30 min for handover, OB book not signed !",late_handover
S104408,"ugNcobo akezanga namhlanje, ngimele yena",absence_cover
S102020,"took Wyk shift as well, 2 posts 1 guard",absence_cover
S105189,CLIENT REQUESTED DEEP CLEAN BEFORE THE AUDIT - APPROVED,client_requested
S101875,shift handover delayed by 30 min,late_handover
S103448,"Mokoena didnt come in, covered the pst",absence_cover
S104440,"waited for relief, nobody came through",late_handover
S103026,relief no shwo AGAIN,absence_cover
S100892,"uJacobs akezanga namhlanje, ngimele yena..",absence_cover
S107877,shift handover delayed by 45 min,late_handover
S108492,fine,blank
S107113,"handover late again, keys missing",late_handover
S104838,"cllient says stay till 06h00, dont know if office approved",client_requested
S104527,Covreed for Mabaso agn - 3rd time this month,absence_cover
S106371,"double duty today, Dlamini on family responsibility leave",absence_cover
S108108,"aflos het nie opgedaag nie, moes aanbly",absence_cover
S102956,"late handover, waiting on paperwork..",late_handover
S101752,"gedek vir Maluleke, siek gemeld",absence_cover
S103686,"relief never arrived, stayed on till 06h00",absence_cover
S104188,"TOOK SIBIYA SHIFT AS WELL, 2 POSTS 1 GUARD",routine
S107471,.,blank
S107963,"Sithole absent, took her rounds as well..",absence_cover
S101906,"scrubber broke down, had to do the flooor manually",equipment_failure
S102383,"client wanted extra man on the gate for the event, appoved",client_requested
S104172,"generator fault, stayed to monitor",equipment_failure
S108025,"reliief only arrived 06:00, stayed until then",absence_cover
S109329,"client says stay till 6am, dont kow if office approved",client_requested
S103063,"took Wyk shift as well, 2 posts 1 guard",absence_cover
S100422,mavuso off sick. again. covered.,absence_cover
S107743,"gedek vir Khumalo, siek gemeld !",absence_cover
S100921,as per normal,routine
S108442,"oorhandiging was laat, gewag vir sleutels",late_handover
S107824,Centre manager requested additional cover for stocktake,client_requested
S106793,client signed for the extra hours but real reason is relief no show agn..,absence_cover
S101513,"TOOK BOTHA SHIFT AS WELL, 2 POSTS 1 GUARD",absence_cover
S102046,"client wanted extra man on the gate for the event, approved",client_requested
S108952,"handover late again, keys missign",late_handover
S105999,stood in for Ndlovu,routine
S103398,"control room syas relief coming, nobody came",absence_cover
S102032,"machine down again, took twice as long..",equipment_failure
S108170,"lift out of order, everything carried up stairs, took long",equipment_failure
S103186,"waited 45 min for handover, ob book not signed",late_handover
S103258,n/a,blank
S102514,"maluleke absent, took her rounds as well",absence_cover
S101242,extra hours approved by cliennt for the event setup,client_requested
S103855,"oorhandiging was laat, gewag vir sleutels",late_handover
S107720,"machine down again, took twce as long",equipment_failure
S104067,sharp,blank
S105344,"covering Mokoena post, no show no call",absence_cover
S100153,"buffer machine kaput, did the floor by hand",equipment_failure
S100195,"additional cover requuested by site maanger, signed off",client_requested
S100504,quiet shift,routine
S107445,"toko Fourie shift as well, 2 posts 1 guard",routine
S105589,extra hours approoved by clinet for the event setup,client_requested
S104419,shift handover delayed by 25 min !,late_handover
S107473,"wroked through, naidoo at the clinic",absence_cover
S101083,quiet shift,routine
S100377,"masjien is stukkend, alles met die hand gedoen",equipment_failure
S102826,n/a,blank
S100391,"aflos het nie opgedaag nie, moes aabnly",routine
S108328,"covering Jacobs post, no show no call",absence_cover
S100618,nothing to report,routine
S107742,"control room says relief coming, nobdoy came",absence_cover
S104637,extra hours approved by client for the event setup,client_requested
S100893,"buffer machine kaput, did the floor by hand..",equipment_failure
S104125,"waited for relief, nobody came through",late_handover
S103628,extra hrs approved by client for the event setup,client_requested
S106131,extra hrs approved by client for the event setup,client_requested
S107763,no incidents,absence_cover
S107745,"requested by centre management for load in, signed off !",client_requested
S106445,no relief. stayed. someone must please sort the roster..,absence_cover
S106151,shift handover delayed by 50 min,late_handover
S103016,ok,blank
S104630,"lift out of order, everything carried up stairs, took long",equipment_failure
S104543,exra hours approved by client for the event setup,client_requested
S104784,"machine down agn, took twice as long..",equipment_failure
S101584,Client requested deep clean before the audit - approved,client_requested
S107058,"control room says relief coming, nobody came",absence_cover
S100599,"double duty today, jacobs on family responsibility leave",absence_cover
S106491,Client asked for extra patrol after the break-in Tuesday,client_requested
S108623,"nxt shift akafikanga, ngihlale kuze kube 0600",absence_cover
S108587,"worked through, september at the clinic",absence_cover
S107327,no relief. staye. someone must pleease sort the roster !,absence_cover
S109285,shift handover delayed by 30 min,late_handover
S104563,shift handover delayed by 30 min,late_handover
S101903,no incidents,absence_cover
S104534,"took Wyk shift as well, 2 posts 1 guard..",absence_cover
S100693,"handover late agn, keys missing !",late_handover
S102396,"next shift akafikanga, ngihlale kuze kube 06h00",absence_cover
S108862,"stocktake ran over, client asked us to remain, they know they pay for it",client_requested
S106564,centre manager requested additional cover for stocktake,client_requested
S101591,"uAdams akezanga namhlanje, ngimele yena",absence_cover
S107632,shift handover delayed by 40 min,late_handover
S107123,"oorhandiging was laat, geewag vir sleutels",late_handover
S100716,Botha off sick. again. covered,absence_cover
S106552,Covering for Khumalo - booked off sick,absence_cover
S108889,"masjien is stukkend, alles met die hand gedoen",equipment_failure
S100160,"aflos het nie opgedaag nie, moes aanbly",absence_cover
S108113,"client wanted extra man on the gate for the event, approved",client_requested
S104315,Covered for Zulu agn - 3rd time this month,absence_cover
S100588,"oorhandiging was laat, gewag vir sletuels",late_handover
S106213,"Radebe didnt come in, covered the post",absence_cover
S102110,"client says stay till 0600, dont know if office approved",client_requested
S103965,"Mavuso didnt come in, covered the post",absence_cover
S102765,"buffer mcahine kaput, did the floor by hand..",equipment_failure
S102065,"CLIENT ASKED US TO STAY FOR THE DELIVERY, OK'D BY CENTRE MGMT",client_requested
S108797,Client requested deep clean before the audit - approved,client_requested
S100570,no incidents,absence_cover
S106130,extra hours approved by client for the event setup,client_requested
S105900,"covering Maluleke post, no show no call",absence_cover
S100159,"lift out of order, everything carried up stairs, took long",equipment_failure
S107412,Client requested deep clean before the audit - approved,client_requested
S104919,double shift bc relief never pitched,absence_cover
S104519,"SCRUBBER BROKE DOWN, HAD TO DO THE FLOOR MANUALLY",equipment_failure
S104625,"scrubber broke down, had to do the floor manually",equipment_failure
S104230,"HENDRICKS DIDNT COME IN, COVERED THE POST",absence_cover
S107710,"buffer machine kaput, did the floor by hand..",equipment_failure
S107512,no issues on site,routine
S107337,next shift guard did not pitch. had to cover.,absence_cover
S109128,sharp,blank
S104122,-,blank
S100731,"late handover, waiting on paperwork",late_handover
S107041,"client says stay till 0600, dont know if offcie approved",client_requested
S107057,no incidents,absence_cover
S108017,"relief only arrived six, stayed until thhen",absence_cover
S100815,,blank
S105108,"buffer machine kaput, did the floor by hand",equipment_failure
S104091,"double duty today, Ngcobo on family responsibility leave",absence_cover
S105998,sharp,blank
S106138,"relief only arrived 06:00, stayed until then",absence_cover
S103597,"covering Molefe post, no show no call..",absence_cover
S107765,no relief. stayed. someone must please sort the roster,absence_cover
S102732,stood in for Khumalo,routine
S100013,"no replacement sent, ngicela sort this out",absence_cover
S107891,"covering Radebe post, no show no call",absence_cover
S104320,client signed for the extra hrs but real reason is relief no show again,absence_cover
S103450,"client wanted extra man on the gate for the event, approved",client_requested
S105833,Centre manager requested additional cover for stocktake..,client_requested
S107430,"buffer machine kaput, did the floor by hand",equipment_failure
S105324,"waited 20 min for handover, OB book not signed",late_handover
S101068,"mavuso didnt come in, covered the post",absence_cover
S103089,"took Mavuso shift as well, 2 posts 1 guard",absence_cover
S106346,"CLIET SAYS STAY TILL 0600, DONT KNOW IF OFFICE APPROVED",client_requested
S100845,n/a,blank
S101082,-,blank
S102397,"relief oly arrived six, stayed until then",absence_cover
S101577,"stocktake ran over, client asked us to remain, they know they pay for it",client_requested
S103386,akukho lutho,routine
S100261,"extra patrol per client email, approved by office",client_requested
S108560,"Motaung absent, took her rounds as well",absence_cover
S100346,"gate motor faled, manned it by hand till 06h00",equipment_failure
S107758,"waited for relief, nobody came through",late_handover
S103760,client signed for the extra hours but real reason is relief no show agn,absence_cover
S105632,"late handover, waiting on paperwork",late_handover
S102162,quiet shift,routine
S106556,"gate motor failed, manned it by hand till six",equipment_failure
S106150,"DOUBLE DUTY TODAY, WYK ON FAMILY RESPONSIBILITY LEAVE",absence_cover
S104946,ok,blank
S109135,"late handover, waiting on paperwork",late_handover
S107358,"extra patrool per client email, approved by office",client_requested
S108965,"client says stay till six, dont know if office approved",client_requested
S107557,Balloyi off sick. agn. covered,absence_cover
S102889,"client says stay till 6am, dont know if office approved",client_requested
S101114,klient het ekstra ure gevra vir stocktake !,client_requested
S104158,"client says say till 6am, dont know if office approved",client_requested
S108836,"waited for relief, nobody came through",late_handover
S103378,"handover laet agn, keys missing",late_handover
