shift_id,category,note
S100737,absence_cover,Next shift guard did not pitch. Had to cover.
S106900,absence_cover,client signed for the extra hrs but real reason is relief no show again
S108361,equipment_failure,"masjien is stukkend, alles met die hand gedoen"
S100877,equipment_failure,"generator fault, stayed to monitor"
S108162,client_requested,"client asked us to stay for the delivery, ok'd by centre mgmt"
S102786,absence_cover,Covering for Mahlangu - booked off sick
S107007,blank,
S106106,late_handover,shift handover delayed by 30 min
S106463,absence_cover,double shift because relief never pitched
S102332,absence_cover,double shift because relief never pitched
S108056,absence_cover,Nexxt shift guuard did not pitch. Had to cover.
S103439,absence_cover,"no replacement sent, ngicela sort this out"
S100571,absence_cover,relief no show AGAIN
S101332,late_handover,"handover late again, keys missing"
S107753,absence_cover,"no replacement sent, ngicela sort this out.."
S106253,client_requested,Client requested deep clean before the audit - approved
S100168,routine,all fine
S104252,blank,sharp
S103008,late_handover,"oorhandiging was laat, gewag vir sleutels"
S105453,routine,akukho lutho
S106113,client_requested,etra hours approved by client for the event setup
S106907,late_handover,"oorhandiging was laat, gewag vir sleutels"
S106876,late_handover,"oorhandiging was laat, gewag vir sleutels"
S105345,absence_cover,"next shift akafikanga, ngihlale kuze kube 06h00"
S106814,absence_cover,"Mabaso didnt come in, covered the post"
S109082,late_handover,"hanodver late again, keys missing"
S107738,late_handover,"waited 50 min for handover, OB book not signed"
S107339,client_requested,"additional cover requested by site manager, signed off"
S100205,routine,no issues on site
S108984,absence_cover,Covering for Pillay - booked off sick
S104765,late_handover,"waited 50 min for handover, ob book not signed"
S102055,absence_cover,"covering Wyk post, no show no call"
S101825,late_handover,"late handover, waiting on paperwork"
S102559,routine,no incidents
S106334,client_requested,Client asked for extra patrol aftter the break-in Tuesday
S101061,client_requested,"stocktake ran over, client asked us to remain, they know they pay for it"
S108139,client_requested,"client asked us to stay for the delivery, ok'd by centre mgmt"
S106859,blank,fine
S103877,blank,sharp
S103656,absence_cover,"DOUBLE DUTY TODAY, FOURIE ON FAMILY RESPONSIBILITY LEAVE"
S105093,client_requested,"client asked us to stay for the delivery, ok'd by centre mgmt.."
S105680,client_requested,"client wanted extra man on the gate for the event, approved"
S101121,routine,niks om te rapporteer nie
S108690,routine,no incidents
S105807,client_requested,klient het ekstra ure gevra vir stockake
S105217,late_handover,shift handover delayed by 25 min
S105371,blank,ok
S106224,absence_cover,"gedek vir Adams, siek gemeld"
S108070,absence_cover,stood in for Radebe
S104308,absence_cover,Next shift guard did not pitch. Had to cover
S105062,routine,quiet shift
S101434,equipment_failure,"scrubber broke down, had to do the floor manually.."
S103671,absence_cover,Covering for September - booked off sick..
S108354,absence_cover,"gedek vir Tshabaala, siek gemeld"
S108267,client_requested,Centre mgr requested additionaal cover for stocktake
S108389,client_requested,"requested by centre management for load in, signed off"
S103433,client_requested,"stocktake ran over, client asked us to remain, they know they pay for it"
S106978,absence_cover,"next shift akafikanga, ngihlale kuze kube six"
S106245,blank,sharp
S106878,absence_cover,"September didt come in, covered the post"
S104428,client_requested,"stocktake ran over, client asked us to remain, thhey know they pay for it"
S102342,blank,.
S105877,routine,all good
S106936,blank,ok
S107938,late_handover,"late handover, waiting on paperwork"
S108000,late_handover,"handover late agn, keys missing.."
S103399,blank,ntr
S101233,absence_cover,"took Jacobs shift as well, 2 posts 1 guard"
S101223,client_requested,Client requested deep clean before the audit - approved
S105661,absence_cover,double shift because relief never pitched
S108187,late_handover,"oorhandiging was laat, gewag vir sletuels !"
S106210,routine,all good
S104295,equipment_failure,"machine down again, took twice as long"
S101088,equipment_failure,"scrubber broke down, had to do the floor manualyl"
