row,shift_id,stratum,rough_tag,lang,len_bucket
1,S106225,targeted,equipment_failure,en,l
2,S104038,targeted,late_handover,en,l
3,S107620,targeted,conflict,en,xl
4,S106906,random,absence_cover,en,xl
5,S106529,random,client_requested,en,xl
6,S103702,random,absence_cover,en,m
7,S107344,targeted,late_handover,en,l
8,S102880,targeted,equipment_failure,en,xl
9,S102186,random,absence_cover,en,m
10,S105053,targeted,client_requested,af,l
11,S104929,random,absence_cover,zu,l
12,S103960,targeted,absence_cover,zu,l
13,S108054,targeted,conflict,en,xl
14,S108466,targeted,unclassified,af,m
15,S107331,targeted,absence_cover,en,l
16,S101011,targeted,late_handover,en,l
17,S103983,random,blank,en,xs
18,S102468,targeted,absence_cover,af,m
19,S105099,random,absence_cover,en,xl
20,S107801,targeted,routine,zu,s
21,S100543,random,equipment_failure,en,xl
22,S100624,targeted,routine,zu,s
23,S101089,random,equipment_failure,af,xl
24,S106569,random,absence_cover,af,l
25,S102953,targeted,unclassified,en,l
26,S107155,random,routine,en,s
27,S102109,random,blank,en,s
28,S100080,random,blank,en,s
29,S106397,targeted,conflict,en,xl
30,S105011,random,client_requested,en,xl
31,S104916,random,absence_cover,en,l
32,S104315,random,absence_cover,en,l
33,S100586,targeted,absence_cover,en,l
34,S100032,random,absence_cover,en,l
35,S107985,targeted,absence_cover,en,m
36,S101817,random,absence_cover,en,l
37,S104081,targeted,absence_cover,zu,l
38,S107938,random,late_handover,en,l
39,S105811,random,absence_cover,en,xl
40,S104821,targeted,late_handover,af,l
41,S108598,random,absence_cover,en,l
42,S104444,random,absence_cover,en,l
43,S106680,random,client_requested,en,xl
44,S101563,random,absence_cover,en,l
45,S100303,random,blank,en,s
46,S105984,random,late_handover,en,l
47,S109285,targeted,late_handover,en,l
48,S109348,targeted,conflict,en,xl
49,S108586,targeted,late_handover,en,l
50,S103348,random,client_requested,en,xl
51,S102847,random,client_requested,en,xl
52,S103775,targeted,equipment_failure,en,xl
53,S108196,random,client_requested,en,xl
54,S108657,random,client_requested,en,xl
55,S102351,random,late_handover,en,l
56,S101704,targeted,equipment_failure,en,l
57,S100205,random,routine,en,m
58,S100595,targeted,conflict,en,xl
59,S108282,targeted,client_requested,af,l
60,S100588,targeted,late_handover,af,l
61,S100315,targeted,unclassified,zu,l
62,S104397,random,routine,en,m
63,S102816,targeted,conflict,en,xl
64,S105922,random,absence_cover,en,l
65,S106210,random,blank,en,s
66,S100401,targeted,equipment_failure,af,xl
67,S104338,targeted,absence_cover,en,l
68,S104917,random,client_requested,en,xl
69,S100537,targeted,absence_cover,en,l
70,S100567,random,client_requested,en,xl
71,S100571,random,absence_cover,en,m
72,S105973,random,unclassified,en,l
73,S100309,random,absence_cover,en,m
74,S101797,random,absence_cover,en,xl
75,S108268,targeted,unclassified,en,l
76,S106848,random,routine,en,m
77,S104527,targeted,unclassified,en,l
78,S106415,targeted,equipment_failure,af,xl
79,S107414,random,late_handover,en,l
80,S103439,random,absence_cover,zu,l
81,S103630,random,absence_cover,en,l
82,S109293,targeted,late_handover,en,xl
83,S104108,random,absence_cover,en,xl
84,S100332,random,absence_cover,en,l
85,S107298,random,absence_cover,en,xl
86,S100269,random,absence_cover,en,xl
87,S109288,random,routine,en,s
88,S107595,random,routine,en,s
89,S102865,random,client_requested,en,xl
90,S107594,random,absence_cover,af,m
91,S101883,targeted,equipment_failure,en,l
92,S106369,random,late_handover,en,l
93,S102055,targeted,absence_cover,en,l
94,S106307,targeted,late_handover,af,l
95,S105071,random,absence_cover,zu,l
96,S108354,targeted,absence_cover,af,l
97,S109125,random,equipment_failure,en,l
98,S104320,targeted,conflict,en,xl
99,S102555,random,absence_cover,af,l
100,S103011,random,absence_cover,en,l
101,S108062,targeted,absence_cover,zu,l
102,S103551,targeted,unclassified,en,xl
103,S100172,targeted,absence_cover,zu,l
104,S107478,random,client_requested,en,xl
105,S103450,random,client_requested,en,xl
106,S108597,targeted,late_handover,en,l
107,S103062,targeted,absence_cover,zu,l
108,S104907,random,equipment_failure,en,l
109,S102158,targeted,absence_cover,zu,l
110,S105002,random,client_requested,en,xl
111,S106282,random,client_requested,en,xl
112,S102977,random,absence_cover,af,l
113,S105906,random,absence_cover,en,xl
114,S108017,random,absence_cover,en,l
115,S102929,targeted,absence_cover,en,l
116,S102054,targeted,client_requested,af,l
117,S108056,targeted,unclassified,en,xl
118,S102163,targeted,absence_cover,en,l
119,S105651,targeted,late_handover,af,l
120,S103211,random,client_requested,en,xl
121,S101599,targeted,conflict,en,xl
122,S104382,targeted,routine,af,m
123,S102622,targeted,conflict,en,xl
124,S101617,random,blank,en,xs
125,S109173,random,blank,en,xs
126,S108049,random,client_requested,en,xl
127,S106887,random,absence_cover,en,m
128,S101555,targeted,unclassified,en,xl
129,S103655,random,late_handover,en,l
130,S106627,random,client_requested,en,xl
131,S108027,targeted,client_requested,af,l
132,S108105,random,absence_cover,af,l
133,S109289,targeted,conflict,en,xl
134,S103981,targeted,equipment_failure,en,l
135,S106108,random,absence_cover,en,m
136,S105346,targeted,unclassified,en,l
137,S106130,random,client_requested,en,xl
138,S104313,targeted,conflict,en,xl
139,S101324,random,client_requested,en,xl
140,S106235,targeted,absence_cover,af,l
141,S107244,targeted,late_handover,en,xl
142,S105582,targeted,equipment_failure,en,l
143,S108623,targeted,unclassified,en,l
144,S106391,targeted,routine,zu,s
145,S103061,random,equipment_failure,en,l
146,S103751,random,absence_cover,en,l
147,S105652,random,late_handover,en,l
148,S100549,random,client_requested,en,xl
149,S102422,random,blank,en,s
150,S102121,targeted,routine,zu,s
151,S104017,random,absence_cover,zu,l
152,S105345,random,absence_cover,en,xl
153,S107156,random,absence_cover,zu,l
154,S103584,targeted,absence_cover,en,l
155,S100013,random,absence_cover,zu,l
156,S106561,random,equipment_failure,en,xl
157,S102887,random,conflict,en,xl
158,S108587,random,absence_cover,en,l
159,S100486,targeted,unclassified,en,l
160,S105504,random,client_requested,en,xl
161,S104565,targeted,equipment_failure,af,xl
162,S104037,targeted,equipment_failure,af,xl
163,S108183,targeted,absence_cover,en,xl
164,S103366,random,routine,en,s
165,S107060,random,absence_cover,en,xl
166,S106900,targeted,conflict,en,xl
167,S106989,targeted,equipment_failure,en,l
168,S105888,random,client_requested,af,l
169,S107810,targeted,late_handover,af,l
170,S104098,random,blank,en,s
171,S109331,random,blank,en,xs
172,S104092,random,late_handover,en,l
173,S101531,random,absence_cover,en,l
174,S108185,random,absence_cover,en,l
175,S105115,random,absence_cover,en,m
176,S109245,random,routine,en,m
177,S106457,targeted,unclassified,zu,l
178,S103645,targeted,equipment_failure,af,xl
179,S107753,targeted,absence_cover,zu,l
180,S106375,targeted,unclassified,en,xl
